,리뷰,별점,영업 시간,이미지url,가게명,가게 주소
0,치즈닭갈비 최고..! 치즈 풍미가 장난이 아니에요조리되어 나와서 바로 먹을 수 있고 양이 많아서 좋았어요배불러서 볶음밥 못먹음 ㅜㅜ,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
1,치즈 있는 닭갈비 처음 먹어봤는데 진짜 맛도리였어요. 여기 닭갈비가 매워서 치즈는 필수.. 그리고 강남역 한복판.. 사람들로 엄청 북적이는데 가게 내부는 넓어서 괜찮았어요. 저녁에는 시간에 따라 웨이팅도 있는듯.,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
2,맛은 그냥 보통임. 가운데에 치즈가 있어서 보기에는 괜춘함.,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
3,3/3일 방문 저녁 9시쯤 방문하여 밥먹는데 벽에서 쥐나와서 활보함... 쥐나왔는데 직원들은 별 개의치 않고 손님들만 개 기겁함 살다살다 식당에서 큰 쥐가 돌아다니는거 처음보네 덕분에 집갈 때 그림자만 봐도 쥐인가 식겁함... 어지간하면 댓글 안남기는데 이게 첫 댓글임,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
4,직원분이 너~무 불친절하세요불키라는 말도 안해주고 계속 명령조로 얘기하십니다ㅎㅎ,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
5,닭갈비 맛있습니다. 늘 사람이 많고 정신 없어서 서비스가 좀 아쉽습니다,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
6,고냥저냥,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
7,웨이팅 - 금요일 강남이여도 금방빠지긴 했습니다.위생 - 컵이 제대로 닦이지 않은걸 줘서 직원분 콜을 했는데 바꿔드릴까요? 라고 물어봅니다.직원 - 주문이 잘못들어간걸 다시 원래 주문대로 바꿔주면서 바꿔드렸어요~ 하고 빌지 툭 던지고 갑니다.설명 - 음식에 대한 설명을 하려는거 같은데 안하느니만 못하게 하십니다.건강 - 이거 먹고 배탈났습니다.재방문 - 안합니다.,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
8,,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
9,가게 자체가 정신 없고 시끄럽고 직원분들이 많이 안 계셔서 그런지 벨을 여러번 눌러도 못 오시는 것 같아요. 주문하려면 10분 정도 기다려야 하더라구요. 닭갈비가 그렇게 먹음직스러워 보이지 않았지만 볶음밥이 맛있어서 2점 드려요..뼈없는닭갈비,2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
10,개 정신없고 직원이 매우 불친절함 다시 찾지 않을 것 같음안내 직원이 이리와라 저리가라 명령조로 지시함조교 출신인듯,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
11,,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
12,,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
13,진짜 맛있네요... 닭갈비 땡길땐 여기!!,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
14,강남역에서 닭갈비 먹고 싶을 때가면 좋을 것 같아요런치로 먹으니 가격도 저렴하고치즈 양도 진짜 많더라구요 !사리 추가해서 먹으니 배터질 뻔 했어요 ㅋㅋ평일 오후 1시 이후에 가야 웨이팅 안 하고바로 먹을 수 있을 것 같아요,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
15,사람이 너무 많기도 하고 공간이 너무 좁아서 힘들었어요ㅠㅠㅠ 그리고 가격이 좀 비싸네요...맛은 괜찮았습니다만 웨이팅 할만하지는 않은 것 같습니다..,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
16,위생 개판이고 컵에 드러운거 덕지덕지 붙어있어요.제발 좀 닦으세요! 그리고 부탄가스좀 갈아요 제발.알바 화상입을뻔했고 잘못했다가 손님얼굴에 불 붙었으면 어쩌려고그러시나요? 맛은 그저 그래요. 춘천꺼 먹다 여기꺼 못먹겠음.위치빨임.,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
17,맛도 특색없고 비위생적이었어요..!,2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
18,"닭갈비는 1인분에 11,000원이구요. 사진은 닭갈비 2인분 주문해서 음식 나오자마자 전혀 손도 안대고 찍은 사진입니다. 진짜 팩트에요 저렇게 나옵니다. 양 보고 진짜 어이가 없었네요. 그리고 무엇보다 직원들 진짜 싸가지 없네요 밥맛 다 떨어지게..양도 직원들 싸가지도 다 없지만 뭣보다 가장 중요한 맛이 없습니다. 이 돈 주고 웨이팅 서가면서 왜 먹는지 전혀 모르겠네요. 재방문 의사 절대 없습니다.",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
19,웨이팅 줄을 가게 안에 세우는게 맞나 싶네요 밥먹고 있는데 옆에 사람들 득실 거려서 먹기 좀 그랬음 맛도 그냥저냥한번 먹고 안갈곳,2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
20,"정말 딱 3점짜리 가게.저렴하지도, 맛없지도 그렇다고 맛있지도, 임팩트가 있지도 않은 딱 3점짜리 가게점심식사하기 좋음",3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
21,"저녁에는 웨이팅이 있다고 들었는데, 대체 여기 줄을 왜 서는 건지... 직원들 불친절한 건 둘째고 그냥 맛 자체가 X",2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
22,,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
23,직원 교육 좀 시키세요 내 돈 주고 밥먹는데 눈치 보여요,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
24,"셀프 반찬인데, 고추나 마늘 없이 쌈무와 쌈채소, 쌈장뿐양도 맛도 그냥 그랬어요..밀키트 데운 맛 입니다",2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
25,가끔 가는데 맛있어용,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
26,모듬사리를 추가하면 양이 생각보다 많습니다.볶음밥에 김치가 더 있었으면 하는 아쉬움이 있습니다.가끔 재방문 할 의사 있습니다.,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
27,보통맛은 맛있고순한맛은 다시 안먹을것 같아요직원 분들 친절했어요~~,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
28,그냥 그럼 ..,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
29,,2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
30,조리가 다 되어서 빨리 나오는 것이 장점이며 쌈채소와 양배추 샐러드가 싱싱하여 좋았음.맛은 괜찮은 편이나 짠 편이며 대기가 이렇게 많을 정도의 맛은 전혀 아님.업주로 보이는 카운터보는 남성의 태도가 상당히 무례함. 대기 및 들어오는 손님을 본인이 안내하고 관리할 생각을 안하고 줄서있는 손님들한테 다그치듯 묻질 않나 내가 당한것도 아닌데 보기만 해도 불쾌해짐. 손님이 많고 장사가 잘되니 여러번 설명하기 힘들어서 그런거라 이해를 해보지만 돈 내고 감정노동하고 온 기분이라 다시 안가고 싶음.,2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
31,비주얼 좋음  음식사진 잘나옴 맛 없음당면끼리 서로 눌어붙음양념 맛 없음 너무 달고 특색 없음 입맛 당기는 맛이 절대 아님 치즈 안 늘어남고기가 퍽퍽하고 고기자체가 별로없음매장 더움테이블에 벌레 날아옴목이 좋아서 장사가 잘 되는 게 분명..,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
32,어제 저녁에 방문했습니다.카운터쪽에 주로 계시던 회색 부리형 마스크 끼신 남자분 너무 불친절해서 불편하게 먹고 나왔네요휴지 어디있냐고 물어봤는데 고갯짓으로 ㅋㅋ 가르키시고 채소 있냐고 여쭤봤는데 손짓으로 ㅋㅋ 다른분들은 친절하신데 .. 아쉽네요,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
33,자주 방문 하는 곳,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
34,들어가자마자 직원들이 손님들한테 화풀이를 하네요. 닭갈비라는 음식이 맛이 없을 수 있는지 몰랐는데 당면 닭 떡 치즈 모든 재료들이 맛없으면 그것도 불가능한 일이 아니었다는 걸 알게 되었습니다.,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
35,여기 위생 너무 안좋아요 테이블 먼지 버너 기름 근처 끈쩍끈쩍 어느정도는 이해 하는데 너무 심해요,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
36,,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
37,일단 닭에서 잡내났음물통 입구엔 물때껴있음맛도 양도 무엇하나 특출난건 없었음게다가 휴지까지 셀프인 인건비절감의 교과서근데 사람 많음 ㅋㅋㅋㅋ,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
38,닭갈비는 어디가든 맛이 비슷한거같습니다 양은 푸짐했어요 ~,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
39,"매장에 날파리가 왤캐 많은지 위생 수준은 훤히 보이고 싸가지없는 직원들 인상 팍팍쓰며 응대하는 꼬락서니보니 밥상 엎어버리고 싶은 맘이 굴뚝. 알바들 교육이 이모냥이니 제대로 된 위생, 식자재 관리가 될 지는 안봐도 유투브. 사흘 굶은 꽃제비들도 공짜로 줘도 안 먹을 음식 내놓곤 3만원 뜯어가는 거 보니 칼든 흉노족. 먹고 나서 배아픈 건 따블. 별 하나 준 것만으로도 성은이 망극하옵니다 외치면서 카카오 본사 방향으로 큰절 세 번 올리고 달궈진 닭갈비 무쇠철판에 이마 세 번 찧어라.",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
40,직원 친절이 문제가 아니고그냥 간이 덜배고 맛이 없음 강남역에 위치해서 사람이 많이 가는듯하다맛집은 절대 아님,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
41,치즈닭갈비 맛있어요 자주감,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
42,"장사를 하려는건지 안하려는건지... 공손까지는 바라지도 않고, 손님한테 짜증만 안내도 좋을 것 같습니다.",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
43,남자 앞머리 있는 모자쓴 알바생 매우 불친절함 표정도 팔기 싫은데 억지로 일하는 느낌 양도 적고 맛도 짜고 최악,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
44,맛있게 잘 먹었습니다,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
45,Good/decent but not amazing. A bit too salty and greasy. Too much cheese.,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
46,밑에 사진들 보면 아시겠지만 다른 곳 1인분이 여기 2인분임.. 별점 낮은거 신경쓰였는지 12월 8일자로 다수가 5개를 줬네요?,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
47,사회적 상황이 어렵게 되면서 다들 힘들게 번 돈으로 방문한 손님들이에요. 저는 오늘 처음 갔고 딱 이거만 같이 먹은 일행 모두 이 새벽에 설사하고 있네요. 우연일수도 있죠.20% 정도는 까맣게 태워 주셔서 탄 맛 때문에 버렸어요. 덕분에 볶음밥도 탄 맛이 듬뿍이었어요. 직원분도 무례한 행동을 자연스럽게 하시더라구요. 물통 달라고 손가락으로 까딱까딱 하시던데 자연스러워서 저도 모르게 공손히 드렸네요.이것저것 많이 추가해 주문해서 양은 적당했고 맛도 괜찮았어요.사장님 답글보니 별점 낮으면 마치 진상으로 취급하시는 거 같아서 마음이 무겁네요. 저도 그런 취급을 받겠죠?지금 설사하느라 밤새 화장실 들락날락 했는데 이 정도로 끝내면 좋은 고객 아닌가요.사실 제 평가와 관계없이 위치 좋고 프랜차이즈고 이름 좋아서 계속 장사는 되시겠지요.,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
48,"여기 닭갈비 2인분이 다른 가게 1인분임고기 양 너무 적고 고구마, 떡 같은 기본 사리는 1도 안 들어감 .. 그 흔한 무쌈도 없고 .. 맛집 아니고 그냥 비싼 닭갈비집임 ..",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
49,웨이팅걸리기 전에 가서 바로 착석. 질리지않을 맛. 맛있었음 깻잎 싸먹으면 존맛탱,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
50,,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
51,친절은 기대도 하지 마세요....진짜 말을 어덯게....화가 나네요,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
52,"돈이 너무 많아서 주체가 안 되면 가세요....고기에서 반지하 물 냄새, 닭냄새가 섞인 냄새가 남 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 먹는데 비위가 상해......소스도 전혀 안 배어있음. 치즈사리는 2인 4천원/ 3인 5천원/ 4인 6천원 이런 식으로 받아먹음 ㅎ",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
53,"다른데 1인분이 여기 2인분임 ㅋㅋ가격도 비싸고 알바생들 노느라 서비스 엉망임.제대로 조율해주는 매니저도 없고 닭갈비 나오는데 23분, 볶음밥 하나 하는데 15분씩 기다려야함.주문했는데 알바생들끼리 준비안하고 떠들고있어서 밥 볶아달라니까 재료준비중이라고만 반복함.김치 날치알 밥 김가루가 15분이나 준비해야하는 재료였는지 몰랐네주방에 일하는분들 다 마스크도 안쓰고 계시고..다시는 안감",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
54,옛날에 장인닭갈비 정말 맛있었는데ㅠ 이제는 닭도 덜 익은데다가 양념도 너무 과하게 달고 치즈추가도 했음에도 불구하고 너무 적게 줍니다…닭이 덜 익어서 그런지 비린내가 너무 심합니다..초심 되찾아주세요;;,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
