,리뷰,별점,영업 시간,이미지url,가게명,가게 주소
55,초심잃었습니다..제가알던 장인은 어디가고 아마추어 닭갈비가 되어버린 안타까운 식사였습니다.다른 닭갈비집 가세요이만,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
56,가격대비 양이 많지는 않음. 친구가 가운데 치즈 때문에 가자고 했는데 괜찮았다. 막 특색이 있다는 아닌데 볶음밥이 맛있다. 기름에 볶아진 느낌이 아닌데 약간 달달하니 손이 계속 갔다. 무슨 봉봉인지 뭐시기 음료 절대 비추,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
57,,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
58,여자친구와 치즈 닭갈비를 잘 먹었어요. 넘 배불러서 볶음밥까진 못 먹었어요 ㅋㅋ,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
59,"닭갈비만 먹었을 땐 3점이었는데, 볶음밥까지 먹고 4점 드립니다. 볶음밥 꼭 드세요! 중간맛으로 먹었는데 적당히 매콤하고 치즈에 양파랑 같이 먹으니 괜찮았습니다. 순한맛으로 먹었으면 좀 많이 싱거웠을 것 같아요. 엄청 뛰어난 맛과 서비스를 기대하긴 힘들겠지만.. 위치 좋고, 비주얼 좋고, 적당히 호불호 안 갈리게 한 끼 먹기 괜찮습니다.",4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
60,맛있게 먹긴했으나... 단맛이 너무 강해서 별5개는아니라고 보임,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
61,맛있는데 단맛이 좀 강함,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
62,치즈 플레이팅?이 예쁘게 돼서 유명한 것 같은데 맛은 아무 닭갈비집이랑 차이는 없다. 가격만 좀 더 높을 뿐.,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
63,생각보다 맛있었어요 양도 적당.볶음밥 굿,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
64,,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
65,가성비 진짜 최고~ 닭갈비에 무조건 치즈사리 추가!!마지막 볶음밥까지~ 한끼식사로 충분해요~,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
66,"평일 오후타임 일하는 여자알바분 개념은 밥 말아먹으셨나봐요? 앉을 자리 보고 qr체크인 한다고 말했더니 짝다리 짚고 서서 노려보면서 qr찍으라고 소리치고, 벨누르는데 직원끼리 모여앉아서 노느라 보는 시늉도 안하고, 영수증에 금액 두배로 찍혀있어서 말했더니 사과한마디도 안하고. 가본 식당중에 단연 서비스 최악이었습니다. 장사할거면 직원교육부터 똑바로 시키시길. 다신안갑니다^^",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
67,,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
68,여기는 무조건 치즈 추가 필수 줄여서 치추필 기억하세요 치추필 뭐라고요 치추필,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
69,치즈닭갈비 너무맛있어요 ㅠㅠ 깔끔하고 좋아요,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
70,동네에 체인점 있었을 때 맛있어서 많이 갔었는데~~! 지금은 없어졌지만 강남 들른김에 생각나서 방문했네요. 여전히 맛은 그대로 입니다,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
71,양 많고 맛있네요~!,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
72,닭갈비 양도 많고 맛있어요!,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
73,여긴 치즈추가 필수에요 ㅜㅜ 매콤한 닭갈비에 싸악 싸먹으면…. 가성비도 넘 좋아용 추천!!,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
74,정말 맛있어요..   가성비최고,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
75,난생 처음 보는 비상식적인 응대에 감탄하고 갑니다. 직원분이 하시는 말 못 들은 상황이었는데 저희가 귀머거리도 아니고 무슨 조롱하듯 대여섯번을 앞에서 QR체크 하셔야해요 하면서 소리지르시더라고요. 와중에 옆에서 다른 직원분은 말리지도 않고 웃고 계시고요. 매장에 1분있었음에도 전반적인 서비스가 얼마나 형편없는 지 알 수 있었습니다. 왜 알바를 안 바꾸시는 의문이 들 정도였습니다. 여러 후기를 보니 알바생에 대한 평이 안 좋던데 알바생을 교체하시는 게 가게 운영에 나을 듯 싶네요.,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
76,"아니 알바생인지 매니저인지 모르겠는데 자리를 옮겼다고 말도 안하고 저희가 옮긴것도 아니고 양해를 구하고 옮겼고. 즐겁게 먹고 계산을 하고 나가려던 와중. ""아, 거기 멈춰봐요. 일로와서 다시 계산하세요."" 이러면서 명령하듯이 화가난 말투로 말씀하셨는데 본인들이 빌지 처리를 잘못하셔서 계산하셨으면서 정중히 사과를 해도 전혀 이상한 상황이 아닌데 오히려 저희한테 화를 내시더라구요? 얼굴로 싫은티 팍팍내고 진짜 대놓고 한소리 하려다가 그상황에 너무 당황해서 아무말 못하고 나왔어요. 아직까지도 저희가 무슨 잘못을 했는지 모르겠구요. 기분좋게 먹었는데 이딴 서비스 받고 다신 안가고싶네요.",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
77,,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
78,양념이 너무 달다. 그래도 배는 부름,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
79,알바생들이 교육이 잘안된건지 융통성이 없던건지ㅋㅋㅋㅋㅋ 볶음밥시켰는데 불이 계속 안켜졌는데 안켜지면 가스통을 바꾸던가 다른곳에서 볶아와야하는거아님? 근데 또 안되네 이러면서 우물쭈물하다가 밥만 비비고 가서 볶음밥이 아니라 비빔밥먹음ㅋ,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
80,"먹다 수세미? 조각 나와서 사장 나와라고 하고 싶었지만, 용기가 없어서 그냥 나옴가지 마세요.",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
81,배불러요,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
82,"옛전에는 이러지 않았는데 아쉽네요.닭갈비랑 볶음밥 양이 엄청 작아졌고, 명동점은 닭갈비에 소스가 남아있지않으면 소스 조금 더 가져와서 간이 맞게 볶아주고 닭 남았으면 닭도 같이 볶아줍니다. 대체 직원교육을 어떻게 시켰는지 사장님 마인드가 다 보여요. 닭갈비랑 토핑 추가 주문하려는데 ""닭갈비 는 2인분 부터 주문 가능하세요."" 하더니 그냥 가버리고 토핑은 추가된다했다가 안된다했다가. 게다가 쌈으로 먹을때는 몰랐는데 닭에서 냄새나요. 상추에서도 돌씹었구요. 처음 온거 아닌데 사람도 많더만 관리를 왜 안하시는지 모르겠네요. 어제 저녁부터 배가아프더니 어제 여기서 점심을 먹은것 때문인가 싶네요.",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
83,진심으로 돈 아까웠던곳 양도 너무 적고중간맛은 밍밍 볶음밥 시키고 나서거의 다 남겼습니다 고추장에 설탕 왕창부은맛이구요 진짜로 리뷰 거의 안쓰는데 너무한거같습니다….,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
84,사장님들 친절한 서비스 감사합니다!,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
85,맛있는지는 모르겠어요. 후각 좋은 사람들은 닭 잡내 맡을 수 있어요. 특별히 반찬도 없고 아무것도 없고 닭갈비만 나오는데 양이 많은것도 아니예요. 근데 가격은 일반 닭갈비집에 비해 비쌈.,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
86,"비주얼에 비해 맛은? 음...1. 드럼스틱살, 양배추, 떡, 조미료 가득한 양념으로만 맛을 내서그런지 3개 정도 먹다보면 질림.2. 당면이 다 불어서 나옴. 어제 만들어놓은 음식 먹는 느낌.3. 오랜만에 닭이다싶어 젓가락으로 집으면 양배추임.4. 중간맛은 안 매운맛임. 총평) 마늘, 양파 등을 추가하여 재료를 조금 더 풍성하게 할 필요가 있어 보임. 그렇다고 닭양이 줄어들면 안됨. 면이 불지 않게 하는 방안도 중요. 왜 미리 만들어져서 나오는 지 이해 안됨. 이러다가 망할 거 같음. 재방문 의사는 없음.",2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
87,저번에 맛있어서 또 방문했는데 역시나 맛있어요!!! 이러다 단골될듯ㅋㅋ,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
88,깔끔하고 맛있어요 !! 볶음밥도 원래 닭갈비 양념이랑 맛이 분리되는데 이곳은 그렇지 않아 정말 좋았어요 ㅎㅎ 직원분들도 친절하시네요 !!! 왕추천입니다,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
89,우선 닭갈비 솔직히 맛있음 양념이 자극적이지 않고 중독성 있음 직원들 친절함아래 리뷰들 이해가 안감 가게가 바뀐건지 내가 알수없지만 참고로 난 만족한곳들만 리뷰함,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
90,너무 맛있습니다 !! 한끼 식사로 좋네요 ㅎㅎ,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
91,"블로그에 또 속았네요...ㅜㅜ  맛은평범. 4인분 중 닭고기양은 엄청 조금이고, 직원들중 캐셔보시는 분 완전 불친절.",2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
92,완죤맛집~~~,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
93,먹고 하루지난 뒤인 지금도 계속 배아파요ㅠㅠㅠ혹시나하고 들어와봤더니 다른분들도 그러시네요,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
94,이정도면 맛있다고 할수 있는것 같습니다.  가면 또 가겠지만 일부러 먹으러 찾아갈까 싶기도 한 적당한 집. 당면넣어주는게 좋았어요ㅎ,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
95,매번 좋은 사람들 만날때 방문하는데 매번 맛이 좋네요.,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
96,학원끝나고 일주일에 두세번은 가는 듯 ㅎㅋㅋㅋ 장인닭갈비 너무 맛있어요!,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
97,매운 닭갈비에 치즈추가하면 남부러울게 없지,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
98,뉴발란스 건물 뒤편에 바로 보였어요 맛있게 잘 먹고 갑니당,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
99,매장 깔끔하고 항상 사람 많지만 맛있어요 !,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
100,위치가 좋아서 자주 찾아가서 먹어요 닭갈비 맛있어요,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
101,치즈추가해서 먹었는데 완전 맛있어요 ㅠㅠㅠㅠ 직원분들도 친절해서 좋아요,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
102,위생 최악.. 가게 내부 곳곳에 벌레끈끈이 있는데 초파리가 징그럽게 많이 붙어있어요 자리앉자마자 바로 보여서 먹기전부터 계속 생각나고 (대체 왜 손님 테이블 바로 옆에 보이도록 둔 거지? 싶음;;;) 음식위에 올라간 검은깨가 다 초파리처럼 보이고 먹는 내내 초파리가 주위에서 계속 날라다녀요 화장실은 말할것도 없이 너무 더러워요 닭갈비 좋아해서 볶음밥까지 먹고 싶었는데 남기고 그냥 나왔습니다,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
103,말이필요없어요ㅜㅜ 너무 맛있어요ㅜㅜ 일끝나고 힐링하네요,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
104,언제먹어도 닭갈비는 여기만한데가 없는거 같아요! 너무 맛있게 잘먹고 갑니다ㅎ,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
105,닭갈비 치즈 조화 미쳤어요! 너무 맛있어요!,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
106,양이 너무 적어요;; 진짜 너무 심함,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
107,집에서 내가 만든게 더 맛있음,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
108,"1개도 아까운 인생 최악의 닭갈비 남이섬 앞에서 먹은 장사치들의 닭갈비가 지금껏 중에 최악이었ㄴ는데, 여기가 갱신했네요 달고 짜기만한 소스에 사리추가 안하면 그냥 닭에 양배추 몇개. 볶음밥도 그냥 달기만 하고... 닭은 꾸역꾸역 먹었는데 볶음밥은 한 입 먹고 싹다 버리고 나와서 샌드위치 사먹었네요 강남역에 맛있는 곳 없는 것도 알고 기대도 안했는데 역대급이예요 강남에서 제일 맛없는 밥집",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
109,,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
110,소스는 맛있는데 재료가 안좋은건지 조리를 잘못하신건지 닭이 맛이 없네요..,2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
111,,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
