지역별,행동분류별,계
서울,계,24:00
서울,개인유지,11:32
서울,일,3:15
서울,학습,0:55
서울,가정관리,1:31
서울,가족 및 가구원 돌보기,0:23
서울,자원봉사 및 무급연수,0:01
서울,교제 및 참여활동,0:53
서울,문화 및 여가활동,3:47
서울,이동,1:42
서울,기타,-
부산,계,24:00
부산,개인유지,11:41
부산,일,2:53
부산,학습,0:49
부산,가정관리,1:35
부산,가족 및 가구원 돌보기,0:18
부산,자원봉사 및 무급연수,0:01
부산,교제 및 참여활동,1:12
부산,문화 및 여가활동,3:58
부산,이동,1:35
부산,기타,-
대구,계,24:00
대구,개인유지,11:33
대구,일,3:01
대구,학습,1:00:00
대구,가정관리,1:33
대구,가족 및 가구원 돌보기,0:19
대구,자원봉사 및 무급연수,0:01
대구,교제 및 참여활동,0:50
대구,문화 및 여가활동,4:08
대구,이동,1:35
대구,기타,-
인천,계,24:00
인천,개인유지,11:29
인천,일,3:29
인천,학습,0:51
인천,가정관리,1:31
인천,가족 및 가구원 돌보기,0:23
인천,자원봉사 및 무급연수,0:01
인천,교제 및 참여활동,0:51
인천,문화 및 여가활동,3:45
인천,이동,1:41
인천,기타,-
광주,계,24:00
광주,개인유지,11:54
광주,일,2:57
광주,학습,0:58
광주,가정관리,1:28
광주,가족 및 가구원 돌보기,0:19
광주,자원봉사 및 무급연수,0:02
광주,교제 및 참여활동,1:06
광주,문화 및 여가활동,3:43
광주,이동,1:34
광주,기타,-
대전,계,24:00
대전,개인유지,11:42
대전,일,2:45
대전,학습,1:07
대전,가정관리,1:37
대전,가족 및 가구원 돌보기,0:22
대전,자원봉사 및 무급연수,0:01
대전,교제 및 참여활동,1:38
대전,문화 및 여가활동,3:26
대전,이동,1:23
대전,기타,-
울산,계,24:00
울산,개인유지,11:56
울산,일,3:15
울산,학습,1:01
울산,가정관리,1:35
울산,가족 및 가구원 돌보기,0:22
울산,자원봉사 및 무급연수,0:01
울산,교제 및 참여활동,0:41
울산,문화 및 여가활동,3:42
울산,이동,1:28
울산,기타,-
세종,계,24:00
세종,개인유지,11:23
세종,일,3:04
세종,학습,1:10
세종,가정관리,1:38
세종,가족 및 가구원 돌보기,0:34
세종,자원봉사 및 무급연수,0:02
세종,교제 및 참여활동,1:04
세종,문화 및 여가활동,3:30
세종,이동,1:35
세종,기타,-
경기,계,24:00
경기,개인유지,11:28
경기,일,3:19
경기,학습,0:55
경기,가정관리,1:33
경기,가족 및 가구원 돌보기,0:26
경기,자원봉사 및 무급연수,0:01
경기,교제 및 참여활동,0:56
경기,문화 및 여가활동,3:38
경기,이동,1:45
경기,기타,-
강원,계,24:00
강원,개인유지,11:39
강원,일,3:17
강원,학습,0:49
강원,가정관리,1:35
강원,가족 및 가구원 돌보기,0:21
강원,자원봉사 및 무급연수,0:03
강원,교제 및 참여활동,0:57
강원,문화 및 여가활동,3:54
강원,이동,1:25
강원,기타,-
충북,계,24:00
충북,개인유지,11:39
충북,일,3:23
충북,학습,0:50
충북,가정관리,1:34
충북,가족 및 가구원 돌보기,0:17
충북,자원봉사 및 무급연수,0:02
충북,교제 및 참여활동,1:12
충북,문화 및 여가활동,3:38
충북,이동,1:26
충북,기타,-
충남,계,24:00
충남,개인유지,11:56
충남,일,3:16
충남,학습,0:50
충남,가정관리,1:32
충남,가족 및 가구원 돌보기,0:21
충남,자원봉사 및 무급연수,0:01
충남,교제 및 참여활동,1:03
충남,문화 및 여가활동,3:38
충남,이동,1:23
충남,기타,-
전북,계,24:00
전북,개인유지,11:31
전북,일,3:05
전북,학습,0:57
전북,가정관리,1:40
전북,가족 및 가구원 돌보기,0:18
전북,자원봉사 및 무급연수,0:02
전북,교제 및 참여활동,1:13
전북,문화 및 여가활동,3:47
전북,이동,1:27
전북,기타,-
전남,계,24:00
전남,개인유지,11:28
전남,일,3:13
전남,학습,0:45
전남,가정관리,1:36
전남,가족 및 가구원 돌보기,0:17
전남,자원봉사 및 무급연수,0:02
전남,교제 및 참여활동,1:07
전남,문화 및 여가활동,4:06
전남,이동,1:27
전남,기타,-
경북,계,24:00
경북,개인유지,11:34
경북,일,3:21
경북,학습,0:48
경북,가정관리,1:40
경북,가족 및 가구원 돌보기,0:16
경북,자원봉사 및 무급연수,0:03
경북,교제 및 참여활동,1:05
경북,문화 및 여가활동,3:49
경북,이동,1:24
경북,기타,-
경남,계,24:00
경남,개인유지,11:38
경남,일,3:04
경남,학습,0:54
경남,가정관리,1:39
경남,가족 및 가구원 돌보기,0:23
경남,자원봉사 및 무급연수,0:01
경남,교제 및 참여활동,0:59
경남,문화 및 여가활동,3:54
경남,이동,1:29
경남,기타,-
제주,계,24:00
제주,개인유지,11:27
제주,일,3:39
제주,학습,0:50
제주,가정관리,1:29
제주,가족 및 가구원 돌보기,0:21
제주,자원봉사 및 무급연수,0:03
제주,교제 및 참여활동,0:39
제주,문화 및 여가활동,4:01
제주,이동,1:30
제주,기타,-